Year,Group,Element,QuesNum,QuesText,NegAns,PosAns
2014-15,Student,Rigorous Instruction,S4a,4a. Think about the class that you attend first on Mondays. How much do you agree with the following statements about that class? I learn a lot from feedback on my work.,"Strongly Disagree, Disagree","Agree, Strongly Agree"
2014-15,Student,Rigorous Instruction,S4b,4b. Think about the class that you attend first on Mondays. How much do you agree with the following statements about that class? It's clear what I need to do to get a good grade.   ,"Strongly Disagree, Disagree","Agree, Strongly Agree"
2014-15,Student,Rigorous Instruction,S4c,4c. Think about the class that you attend first on Mondays. How much do you agree with the following statements about that class? The work we do in class is good preparation for our class tests.  ,"Strongly Disagree, Disagree","Agree, Strongly Agree"
2014-15,Student,Rigorous Instruction,S4d,4d. Think about the class that you attend first on Mondays. How much do you agree with the following statements about that class? The homework assignments help me learn the course material.,"Strongly Disagree, Disagree","Agree, Strongly Agree"
2014-15,Student,Rigorous Instruction,S4e,4e. Think about the class that you attend first on Mondays. How much do you agree with the following statements about that class? I know what my teacher wants me to learn in class.,"Strongly Disagree, Disagree","Agree, Strongly Agree"
2014-15,Student,Rigorous Instruction,S5a,"5a.  How much do you agree with the following statements? In my classes, my teachers expect students to work hard. ","Strongly Disagree, Disagree","Agree, Strongly Agree"
2014-15,Student,Rigorous Instruction,S5b,"5b.  How much do you agree with the following statements? In my classes, my teachers expect me to do my best all the time.","Strongly Disagree, Disagree","Agree, Strongly Agree"
2014-15,Student,Rigorous Instruction,S5c,"5c.  How much do you agree with the following statements? In my classes, my teachers expect me to learn from my peers.","Strongly Disagree, Disagree","Agree, Strongly Agree"
2014-15,Student,Rigorous Instruction,S5d,"5d.  How much do you agree with the following statements? In my classes, my teachers want students to become better thinkers, not just memorize things.","Strongly Disagree, Disagree","Agree, Strongly Agree"
2014-15,Student,Supportive Environment,S6a,6a. How much do you agree with the following statements? I feel safe outside around this school.,"Strongly Disagree, Disagree","Agree, Strongly Agree"
2014-15,Student,Supportive Environment,S6b,6b. How much do you agree with the following statements? I feel safe traveling between home and this school.,"Strongly Disagree, Disagree","Agree, Strongly Agree"
2014-15,Student,Supportive Environment,S6c,"6c. How much do you agree with the following statements? I feel safe in the hallways, bathrooms, locker rooms, and cafeteria of this school.","Strongly Disagree, Disagree","Agree, Strongly Agree"
2014-15,Student,Supportive Environment,S6d,6d. How much do you agree with the following statements? I feel safe in my classes at this school.,"Strongly Disagree, Disagree","Agree, Strongly Agree"
2014-15,Student,Supportive Environment,S7a,7a. How much do you agree with the following statements? Students in this school get to know each other well in classes.,"Strongly Disagree, Disagree","Agree, Strongly Agree"
2014-15,Student,Supportive Environment,S7b,7b. How much do you agree with the following statements? Students in this school are very interested in getting to know other students.,"Strongly Disagree, Disagree","Agree, Strongly Agree"
2014-15,Student,Supportive Environment,S7c,7c. How much do you agree with the following statements? Students in this school enjoy doing things with each other during school activities.,"Strongly Disagree, Disagree","Agree, Strongly Agree"
2014-15,Student,Supportive Environment,S7d,7d. How much do you agree with the following statements? Students in this school get to know each other really well.,"Strongly Disagree, Disagree","Agree, Strongly Agree"
2014-15,Student,Supportive Environment,S7e,7e. How much do you agree with the following statements? Students in this school enjoy working together on projects in classes.,"Strongly Disagree, Disagree","Agree, Strongly Agree"
2014-15,Student,Supportive Environment,S8a,8a. How much do you agree with the following statements? The teachers at this school help me catch up if I am behind.,"Strongly Disagree, Disagree","Agree, Strongly Agree"
2014-15,Student,Supportive Environment,S8b,8b. How much do you agree with the following statements? The teachers at this school are willing to give extra help on schoolwork if I need it.,"Strongly Disagree, Disagree","Agree, Strongly Agree"
2014-15,Student,Supportive Environment,S8c,8c. How much do you agree with the following statements? The teachers at this school notice if I have trouble learning something.,"Strongly Disagree, Disagree","Agree, Strongly Agree"
2014-15,Student,Supportive Environment,S8d,8d. How much do you agree with the following statements? The teachers at this school give me specific suggestions about how I can improve my work in class.,"Strongly Disagree, Disagree","Agree, Strongly Agree"
2014-15,Student,Supportive Environment,S8e,8e. How much do you agree with the following statements? The teachers at this school compliment me if I do good work.,"Strongly Disagree, Disagree","Agree, Strongly Agree"
2014-15,Student,Supportive Environment,S8f,8f. How much do you agree with the following statements? The teachers at this school explain things a different way if I don't understand something in class.,"Strongly Disagree, Disagree","Agree, Strongly Agree"
2014-15,Student,Supportive Environment,S8g,8g. How much do you agree with the following statements? The teachers at this school notice when I am upset or having emotional difficulty.,"Strongly Disagree, Disagree","Agree, Strongly Agree"
2014-15,Student,Rigorous Instruction,S9a,9a. How much do you agree with the following statements? I'm learning a lot in my classes at this school. ,"Strongly Disagree, Disagree","Agree, Strongly Agree"
2014-15,Student,Trust,S9b,9b. How much do you agree with the following statements? I feel safe and comfortable with my teachers at this school.,"Strongly Disagree, Disagree","Agree, Strongly Agree"
2014-15,Student,Trust,S9c,9c. How much do you agree with the following statements? There is at least one adult in the school that I can confide in.,"Strongly Disagree, Disagree","Agree, Strongly Agree"
2014-15,Student,Trust,S9d,9d. How much do you agree with the following statements? My teachers will always listen to students' ideas.,"Strongly Disagree, Disagree","Agree, Strongly Agree"
2014-15,Student,Trust,S9e,9e. How much do you agree with the following statements? My teachers always keep their promises.,"Strongly Disagree, Disagree","Agree, Strongly Agree"
2014-15,Student,Trust,S9f,9f. How much do you agree with the following statements? My teachers treat me with respect.,"Strongly Disagree, Disagree","Agree, Strongly Agree"
2014-15,Student,Trust,S9g,"9g. How much do you agree with the following statements? When my teachers tell me not to do something, I know they have a good reason.","Strongly Disagree, Disagree","Agree, Strongly Agree"
2014-15,Student,Rigorous Instruction,S9h,9h. How much do you agree with the following statements? My classes at this school really make me think. ,"Strongly Disagree, Disagree","Agree, Strongly Agree"
2014-15,Student,Collaborative Teachers,S10a,10a. How much do you agree with the following statements?  My teachers incorporate students' cultures/ backgrounds into the curriculum to make learning more meaningful.,"Strongly Disagree, Disagree","Agree, Strongly Agree"
2014-15,Student,Collaborative Teachers,S10b,10b. How much do you agree with the following statements? I see people of many cultures/backgrounds represented in the curriculum.,"Strongly Disagree, Disagree","Agree, Strongly Agree"
2014-15,Student,Collaborative Teachers,S10c,10c. How much do you agree with the following statements? My teachers connect to students of different cultures/backgrounds.,"Strongly Disagree, Disagree","Agree, Strongly Agree"
2014-15,Student,Collaborative Teachers,S10d,10d. How much do you agree with the following statements? My teachers can communicate well with parents/guardians from different cultures/backgrounds.,"Strongly Disagree, Disagree","Agree, Strongly Agree"
2014-15,Student,Collaborative Teachers,S10e,10e. How much do you agree with the following statements? My teachers appreciate my culture/background.,"Strongly Disagree, Disagree","Agree, Strongly Agree"
2014-15,Student,Supportive Environment,S10f,"10f. How much do you agree with the following statements? This school offers a wide enough variety of programs, classes and activities to keep me interested in school.","Strongly Disagree, Disagree","Agree, Strongly Agree"
2014-15,Student,Supportive Environment,S10g,"10g. How much do you agree with the following statements? The programs, classes, and activities at this school encourage students to develop talent outside academics.  ","Strongly Disagree, Disagree","Agree, Strongly Agree"
2014-15,Student,Supportive Environment,S10h,10h. How much do you agree with the following statements? This school is kept clean.,"Strongly Disagree, Disagree","Agree, Strongly Agree"
2014-15,Student,Supportive Environment,S10i,10i. How much do you agree with the following statements? Most of the teaching staff at this school are teaching me the organizational skills and work habits (like note-taking and keeping track of assignments) that I need to succeed in school.         ,"Strongly Disagree, Disagree","Agree, Strongly Agree"
2014-15,Student,Supportive Environment,S10j,10j. How much do you agree with the following statements? Most students at this school treat each other with respect.,"Strongly Disagree, Disagree","Agree, Strongly Agree"
2014-15,Student,Supportive Environment,S10k,"10k. How much do you agree with the following statements? At this school students with disabilities are included in all school activities (lunch, class trips, etc.).    ","Strongly Disagree, Disagree","Agree, Strongly Agree"
2014-15,Student,Supportive Environment,S11a,11a. How much do you agree with the following statements? At this school students harass or bully other students.,"Most of the time, All of the time","None of the time, Some of the time"
2014-15,Student,Supportive Environment,S11b,"11b. How much do you agree with the following statements? At this school students harass or bully each other based on differences (such as race, color, ethnicity, national origin, citizenship/immigration status, religion, gender, gender identity, gender expression, sexual orientation, disability or weight).","Most of the time, All of the time","None of the time, Some of the time"
2014-15,Student,Supportive Environment,S11c,11c. How much do you agree with the following statements? At this school students get into physical fights.,"Most of the time, All of the time","None of the time, Some of the time"
2014-15,Student,Supportive Environment,S11d,"11d. How much do you agree with the following statements? At this school students drink alcohol, use illegal drugs, or abuse prescription drugs while at school.        ","Most of the time, All of the time","None of the time, Some of the time"
2014-15,Student,Supportive Environment,S11e,11e. How much do you agree with the following statements? At this school there is gang activity.,"Most of the time, All of the time","None of the time, Some of the time"
2014-15,Student,Supportive Environment,S12a,"12a. If you are a student in grades 9-12, ANSWER this question. Adults at this school help students aspiring to enter the workforce, develop a plan to reach their future employment goals.","Strongly Disagree, Disagree","Agree, Strongly Agree"
2014-15,Student,Supportive Environment,S12b,"12b. If you are a student in grades 9-12, ANSWER this question. Adults at this school provide students with information about the college enrollment process.","Strongly Disagree, Disagree","Agree, Strongly Agree"
2014-15,Student,Supportive Environment,S12c,"12c. If you are a student in grades 9-12, ANSWER this question. Adults at this school help keep me on track for college or career.","Strongly Disagree, Disagree","Agree, Strongly Agree"
2014-15,Student,Supportive Environment,S12d,"12d. If you are a student in grades 9-12, ANSWER this question. Adults at this school support students in navigating the post-secondary process.","Strongly Disagree, Disagree","Agree, Strongly Agree"
2014-15,Student,Supportive Environment,S12e,"12e. If you are a student in grades 9-12, ANSWER this question. This school programs students with appropriate courses to achieve their postsecondary goals.","Strongly Disagree, Disagree","Agree, Strongly Agree"
2014-15,Student,Supportive Environment,S12f,"12f. If you are a student in grades 9-12, ANSWER this question. There is an adult who is helping me plan for my next steps after graduation (career planning, college selection and application process, financial aid process, etc.).                       ","Strongly Disagree, Disagree","Agree, Strongly Agree"
2014-15,Student,Supportive Environment,S13a,"13a. If you are a student in grades 6-8, ANSWER this question. If you are a student in grades 9-12, SKIP this question. This school provides useful information to students about the application/enrollment process to high school.                         ","Strongly Disagree, Disagree","Agree, Strongly Agree"
2014-15,Student,Supportive Environment,S13b,"13b. If you are a student in grades 6-8, ANSWER this question. If you are a student in grades 9-12, SKIP this question. This school provides guidance for the application process for high school.                     ","Strongly Disagree, Disagree","Agree, Strongly Agree"
2014-15,Student,Supportive Environment,S13c,"13c. If you are a student in grades 6-8, ANSWER this question. If you are a student in grades 9-12, SKIP this question. This school educates families about the application/enrollment process for high school.                    ","Strongly Disagree, Disagree","Agree, Strongly Agree"
